word,n,p,username,rank
–,98,1.8071178314586025,fjdominguez8,2
españa,131,1.0594419733117673,cucagamarra,2
murcia,22,1.8916595012897677,juanluissotoadd,2
avui,92,0.41875284478834773,jacs_jaumeacs,2
gibraltar,246,0.9798844851623183,agustinrosety,2
catalan,224,0.6223951097527091,joethebrew,2
españa,109,0.7770173937838609,anaprietonieto,2
catalunya,70,1.202335967021642,miriamnoguerasm,2
palma,1983,1.5149200140567465,dbalears,2
figueres,90,0.5436424041075204,nataliadipp,2
psoe,114,0.3826402175007552,albanodante76,2
sempre,32,0.7215332581736189,anna_caula,2
🍊,49,0.6062855728780004,blanca_vic,2
✅,43,0.8097928436911487,nadiacalvino,2
plefigueres,60,1.8187329493785998,hector_amello,2
tsunami,131,1.703068122724909,tsunami_dem,2
españa,133,0.9708737864077669,carmencalvo_,2
du,32,2.4691358024691357,jeanmarcpujol,2
valencia,77,1.1846153846153846,oscargamazo,2
🗞,207,1.380184024536605,espciudadana,2
!,52,0.6351532918040796,margaprohens,2
catalanes,23,0.7613373055279709,josemariacanocs,2
catalunya,65,0.5657093124456049,jsalvadorduch,2
región,1770,0.7942384061385206,laverdad_es,2
españa,38,0.9989484752891693,meerrocio,2
gràcies,32,1.2436844150796735,gloriafreixav,2
luchamosporcanarias,89,3.0689655172413794,anioramas,2
españa,9,1.1780104712041886,belenfcasero,2
cataluña,1,9.090909090909092,ferdeparamo,2
reus,47,2.0025564550489987,mtpallares,2
catalanes,50,0.6098304671301378,mariavalle7,2
ciudad,55,0.6822974817020221,alevysoler,2
lhospitalet,116,0.7568837269998695,merceperea,2
do,228,0.5600589535740604,_maria_dantas_,2
vox,199,1.4552102376599634,igarrigavaz,2
govern,61,0.7756866734486266,ainavs,2
españa,132,0.4876426909010307,fjconpe,2
10n,3,2.18978102189781,auxipd,2
avui,52,1.0668855149774312,bernatsole,2
cataluña,28,0.6269592476489028,esperanzagarcpp,2
mallorca,2555,1.6520856368773966,diariomallorca,2
