Spain,  Deaths (Lexis triangle)	Last modified: 05 Oct 2018;  Methods Protocol: v6 (2017)

 Year   Age   Cohort      Female        Male       Total
 1910   52      1858      692.49      821.02     1513.51
 1910   52      1857      736.48      869.76     1606.24
 1910   53      1857      493.87      641.33     1135.20
 1910   53      1856      525.25      679.40     1204.65
 1910   54      1856      724.06      858.52     1582.58
 1910   54      1855      770.05      909.48     1679.53
 1910   55      1855      825.81      973.55     1799.36
 1910   55      1854      880.74     1030.11     1910.85
 1910   56      1854      906.79      964.30     1871.09
 1910   56      1853      967.10     1020.31     1987.41
 1910   57      1853      621.18      781.57     1402.75
 1910   57      1852      662.49      826.97     1489.46
 1910   58      1852      891.76     1012.54     1904.30
 1910   58      1851      951.07     1071.35     2022.42
 1910   59      1851      580.45      775.72     1356.17
 1910   59      1850      619.05      820.79     1439.84
 1910   60      1850     2321.82     2095.57     4417.39
 1910   60      1849     2519.25     2230.66     4749.91
 1910   61      1849      651.70      828.22     1479.92
 1910   61      1848      707.12      881.61     1588.73
 1910   62      1848     1130.87     1278.52     2409.39
 1910   62      1847     1227.04     1360.94     2587.98
 1910   63      1847      963.62     1112.88     2076.50
 1910   63      1846     1045.56     1184.62     2230.18
 1910   64      1846     1304.37     1402.39     2706.76
 1910   64      1845     1415.29     1492.79     2908.08
 1910   65      1845     1490.01     1612.17     3102.18
 1910   65      1844     1643.51     1731.28     3374.79
 1910   66      1844     1335.15     1438.57     2773.72
 1910   66      1843     1472.69     1544.86     3017.55
 1910   67      1843      985.88     1213.24     2199.12
 1910   67      1842     1087.44     1302.87     2390.31
 1910   68      1842     1358.50     1396.50     2755.00
 1910   68      1841     1498.44     1499.68     2998.12
 1910   69      1841      775.26      945.35     1720.61
 1910   69      1840      855.13     1015.19     1870.32
 1910   70      1840     3035.76     2482.42     5518.18
 1910   70      1839     3383.59     2686.19     6069.78
 1910   71      1839      772.45      835.18     1607.63
 1910   71      1838      860.95      903.74     1764.69
 1910   72      1838     1379.98     1407.38     2787.36
 1910   72      1837     1538.09     1522.90     3060.99
 1910   73      1837     1072.90     1156.92     2229.82
 1910   73      1836     1195.82     1251.89     2447.71
 1910   74      1836     1269.56     1306.23     2575.79
 1910   74      1835     1415.02     1413.45     2828.47
 1910   75      1835     1525.53     1458.03     2983.56
 1910   75      1834     1720.22     1593.60     3313.82
 1910   76      1834     1261.31     1258.70     2520.01
 1910   76      1833     1422.28     1375.74     2798.02
 1910   77      1833      988.13     1041.65     2029.78
 1910   77      1832     1114.24     1138.51     2252.75
 1910   78      1832     1285.80     1220.37     2506.17
 1910   78      1831     1449.89     1333.84     2783.73
 1910   79      1831      665.51      664.09     1329.60
 1910   79      1830      750.44      725.84     1476.28
 1910   80      1830     2353.03     1682.33     4035.36
 1910   80      1829     2654.39     1833.60     4487.99
 1910   81      1829      571.66      560.46     1132.12
 1910   81      1828      644.87      610.85     1255.72
 1910   82      1828      962.49      820.05     1782.54
 1910   82      1827     1085.77      893.79     1979.56
 1910   83      1827      639.94      598.84     1238.78
 1910   83      1826      721.90      652.69     1374.59
 1910   84      1826      926.24      757.67     1683.91
